               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.040021,            0.021704,           0.0077305,             0.70292,             0.61365,             0.68573,             0.32198,            0.037867,            0.017092,           0.0068754,            0.008416,            0.008416,            0.008416
                  50,             0.03971,            0.021787,           0.0075602,              0.7358,             0.56801,             0.65896,             0.30294,            0.038226,            0.017359,            0.008199,            0.008383,            0.008383,            0.008383
                  51,            0.039586,            0.021725,           0.0076807,             0.61825,             0.62929,             0.69468,             0.32578,             0.03763,            0.016786,           0.0070979,             0.00835,             0.00835,             0.00835
                  52,            0.039622,            0.021519,           0.0075954,             0.66535,             0.60527,             0.65946,             0.30369,            0.039273,            0.017391,           0.0069233,            0.008317,            0.008317,            0.008317
                  53,            0.039549,            0.021484,           0.0074427,             0.73219,             0.56485,             0.63314,             0.29958,            0.038599,             0.01751,            0.010073,            0.008284,            0.008284,            0.008284
                  54,            0.039307,            0.021364,           0.0074115,              0.6725,              0.6386,              0.6774,             0.31444,            0.037878,            0.017384,           0.0074473,            0.008251,            0.008251,            0.008251
                  55,            0.039253,             0.02148,           0.0071598,             0.66394,             0.58705,             0.65243,             0.30107,            0.038475,             0.01793,           0.0075054,            0.008218,            0.008218,            0.008218
                  56,            0.039163,            0.021508,           0.0071115,             0.67535,             0.63424,              0.6845,             0.32391,            0.038199,            0.017422,           0.0066281,            0.008185,            0.008185,            0.008185
                  57,            0.039011,            0.021324,           0.0074513,             0.70249,             0.63976,             0.69033,             0.32694,            0.036829,            0.017096,             0.00593,            0.008152,            0.008152,            0.008152
                  58,            0.038654,            0.021168,           0.0069264,             0.72455,             0.63618,             0.69542,             0.33181,            0.036865,            0.016743,           0.0058248,            0.008119,            0.008119,            0.008119
