               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.038842,            0.023009,           0.0063788,             0.69017,             0.58651,             0.62075,              0.3021,            0.039327,            0.018251,           0.0095746,            0.007723,            0.007723,            0.007723
                 117,            0.038906,            0.022704,           0.0061819,             0.67774,             0.56934,             0.62037,             0.30115,             0.03917,             0.01824,           0.0092185,           0.0077032,           0.0077032,           0.0077032
                 118,            0.038895,            0.022871,           0.0062427,             0.66397,              0.5901,              0.6229,             0.29663,            0.039406,            0.018229,           0.0091266,           0.0076834,           0.0076834,           0.0076834
                 119,            0.038646,            0.022207,           0.0061417,             0.65209,             0.58706,             0.62259,             0.30071,            0.039245,            0.018195,           0.0091239,           0.0076636,           0.0076636,           0.0076636
                 120,            0.038377,            0.022375,           0.0059517,             0.67868,             0.60392,             0.62904,             0.30368,            0.039214,             0.01824,           0.0087082,           0.0076438,           0.0076438,           0.0076438
                 121,            0.038437,            0.022584,           0.0059501,             0.68489,             0.58647,             0.62454,             0.30102,            0.038974,            0.018324,           0.0081079,            0.007624,            0.007624,            0.007624
                 122,            0.038238,            0.022601,             0.00593,             0.66021,             0.59932,             0.63243,             0.30209,             0.03882,            0.018351,           0.0078928,           0.0076042,           0.0076042,           0.0076042
                 123,            0.038289,            0.022505,            0.005982,             0.66241,             0.58982,             0.62829,             0.30158,            0.038931,            0.018276,            0.008276,           0.0075844,           0.0075844,           0.0075844
                 124,            0.037972,            0.022511,           0.0059174,             0.66304,             0.58712,             0.62178,             0.29712,            0.038928,            0.018257,           0.0084332,           0.0075646,           0.0075646,           0.0075646
                 125,            0.038363,            0.022686,           0.0057285,             0.68666,             0.58478,             0.62497,             0.30412,            0.038744,            0.018172,           0.0080807,           0.0075448,           0.0075448,           0.0075448
                 126,            0.038194,            0.022306,           0.0060561,              0.6681,             0.58166,             0.62845,             0.30079,            0.039092,            0.018208,           0.0088216,            0.007525,            0.007525,            0.007525
                 127,            0.038365,            0.022383,           0.0061397,             0.65494,             0.60498,             0.63273,             0.30362,            0.039128,            0.018158,           0.0090716,           0.0075052,           0.0075052,           0.0075052
                 128,            0.038109,            0.022095,           0.0061662,             0.68978,             0.58242,             0.62912,             0.30602,            0.038938,            0.018125,           0.0085099,           0.0074854,           0.0074854,           0.0074854
                 129,            0.038109,            0.022498,           0.0059755,             0.66608,             0.59528,             0.63044,              0.3049,             0.03886,            0.018115,           0.0086662,           0.0074656,           0.0074656,           0.0074656
                 130,            0.037933,            0.022169,           0.0056666,             0.66189,             0.59599,             0.62792,             0.30326,            0.038853,            0.018067,           0.0086625,           0.0074458,           0.0074458,           0.0074458
                 131,              0.0377,            0.022422,           0.0056028,              0.6664,             0.60248,             0.62947,             0.30688,            0.038973,            0.018033,           0.0089317,            0.007426,            0.007426,            0.007426
                 132,            0.037931,            0.022177,           0.0059389,             0.66505,             0.60581,             0.63313,             0.30721,            0.038975,            0.018057,           0.0088672,           0.0074062,           0.0074062,           0.0074062
                 133,            0.037717,            0.022422,           0.0057045,             0.65616,             0.60079,             0.62635,             0.30605,            0.038989,            0.018099,           0.0091316,           0.0073864,           0.0073864,           0.0073864
                 134,            0.037804,            0.021833,           0.0058328,             0.68105,             0.59232,              0.6269,             0.30368,            0.039025,            0.018105,           0.0094524,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037739,            0.022038,           0.0056853,             0.66224,             0.60073,             0.62905,             0.30671,            0.038876,            0.018112,           0.0091581,           0.0073468,           0.0073468,           0.0073468
                 136,            0.037605,            0.021732,           0.0058525,             0.68347,             0.58837,              0.6326,             0.30597,            0.038873,            0.018081,           0.0090455,            0.007327,            0.007327,            0.007327
                 137,            0.037484,             0.02204,           0.0055445,             0.67254,              0.6054,             0.63877,             0.30725,            0.038923,            0.018075,           0.0086804,           0.0073072,           0.0073072,           0.0073072
                 138,            0.037444,            0.022157,           0.0054151,             0.68174,             0.60566,             0.64144,             0.30965,            0.038846,            0.018124,           0.0084367,           0.0072874,           0.0072874,           0.0072874
                 139,            0.037543,            0.021657,           0.0056156,             0.65631,             0.61379,             0.64236,             0.30926,             0.03878,            0.018133,           0.0083603,           0.0072676,           0.0072676,           0.0072676
                 140,            0.037265,            0.021962,           0.0054539,             0.66738,             0.60285,             0.63296,              0.3074,            0.038924,            0.018115,           0.0088586,           0.0072478,           0.0072478,           0.0072478
                 141,            0.037513,            0.022343,           0.0055709,             0.66416,             0.59154,             0.63256,             0.30615,            0.038988,            0.018133,           0.0090448,            0.007228,            0.007228,            0.007228
                 142,            0.037364,            0.021723,           0.0052071,             0.67031,             0.61202,             0.64273,             0.30804,            0.039005,            0.018098,           0.0092432,           0.0072082,           0.0072082,           0.0072082
                 143,            0.037144,            0.022125,           0.0052949,             0.69746,             0.60554,             0.64576,             0.30971,            0.039129,            0.018078,           0.0092158,           0.0071884,           0.0071884,           0.0071884
                 144,            0.037039,            0.021807,           0.0052671,             0.70128,             0.60068,             0.64318,             0.31119,            0.039107,            0.018064,           0.0091322,           0.0071686,           0.0071686,           0.0071686
                 145,            0.037182,            0.021873,           0.0053474,             0.68234,              0.6038,             0.64816,             0.31402,            0.039008,            0.018073,           0.0092087,           0.0071488,           0.0071488,           0.0071488
                 146,            0.037317,             0.02204,           0.0050837,             0.67751,             0.60024,              0.6384,             0.31559,            0.038984,            0.018079,           0.0091983,            0.007129,            0.007129,            0.007129
                 147,            0.037042,            0.021998,           0.0052359,             0.67167,             0.60174,             0.63955,             0.31475,            0.039083,             0.01812,           0.0090257,           0.0071092,           0.0071092,           0.0071092
                 148,            0.037164,            0.021919,           0.0053967,             0.66494,             0.59678,             0.63626,             0.31237,            0.038916,            0.018117,           0.0086644,           0.0070894,           0.0070894,           0.0070894
                 149,            0.037206,            0.021558,           0.0052529,             0.68038,             0.59529,              0.6358,             0.31073,            0.038826,            0.018127,           0.0088662,           0.0070696,           0.0070696,           0.0070696
                 150,            0.036998,            0.021787,            0.005394,             0.68492,             0.59836,              0.6348,             0.30961,            0.038782,            0.018103,           0.0091814,           0.0070498,           0.0070498,           0.0070498
                 151,            0.036909,            0.021581,           0.0053735,             0.70187,             0.58241,             0.63552,             0.30977,            0.038745,            0.018107,           0.0091615,             0.00703,             0.00703,             0.00703
                 152,            0.036912,            0.021572,           0.0052848,             0.70554,             0.57579,             0.63508,             0.31073,            0.038642,            0.018109,           0.0091306,           0.0070102,           0.0070102,           0.0070102
                 153,            0.037046,            0.021618,           0.0050601,             0.70039,             0.57636,             0.63139,             0.31121,              0.0387,            0.018125,           0.0089598,           0.0069904,           0.0069904,           0.0069904
                 154,             0.03676,            0.021644,           0.0050947,             0.70751,             0.57219,             0.62912,             0.31086,            0.038636,            0.018121,            0.008685,           0.0069706,           0.0069706,           0.0069706
                 155,            0.036614,            0.021816,           0.0048875,             0.71675,             0.56815,             0.62969,             0.31014,            0.038641,            0.018148,           0.0086089,           0.0069508,           0.0069508,           0.0069508
                 156,            0.036444,            0.021755,           0.0051877,             0.71694,             0.56048,             0.63052,             0.31057,            0.038583,            0.018144,           0.0084363,            0.006931,            0.006931,            0.006931
